Model,Threshold,SuccessRate_percent,AvgDist
DNN_LNA_closs1,0.00,0.0,0.62
DNN_LNA_closs1,0.05,0.0,0.62
DNN_LNA_closs1,0.10,0.7,0.62
DNN_LNA_closs1,0.20,4.3,0.62
DNN_LNA_closs1,0.50,24.7,0.62
DNN_LNA_closs1,0.80,80.7,0.62
DNN_LNA_closs1,1.00,99.6,0.62
DNN_LNA_closs2,0.00,0.0,0.134
DNN_LNA_closs2,0.05,9.9,0.134
DNN_LNA_closs2,0.10,35.8,0.134
DNN_LNA_closs2,0.20,83.9,0.134
DNN_LNA_closs2,0.50,100.0,0.134
DNN_LNA_closs2,0.80,100.0,0.134
DNN_LNA_closs2,1.00,100.0,0.134
DNN_LNA_mse,0.00,0.0,0.234
DNN_LNA_mse,0.05,4.3,0.234
DNN_LNA_mse,0.10,14.5,0.234
DNN_LNA_mse,0.20,45.6,0.234
DNN_LNA_mse,0.50,95.5,0.234
DNN_LNA_mse,0.80,100.0,0.234
DNN_LNA_mse,1.00,100.0,0.234
DNN_LNA_on_wheel1,0.00,0.0,0.186
DNN_LNA_on_wheel1,0.05,3.0,0.186
DNN_LNA_on_wheel1,0.10,17.5,0.186
DNN_LNA_on_wheel1,0.20,63.1,0.186
DNN_LNA_on_wheel1,0.50,100.0,0.186
DNN_LNA_on_wheel1,0.80,100.0,0.186
DNN_LNA_on_wheel1,1.00,100.0,0.186
DNN_LNA_sinu,0.00,0.0,0.254
DNN_LNA_sinu,0.05,3.0,0.254
DNN_LNA_sinu,0.10,11.3,0.254
DNN_LNA_sinu,0.20,33.9,0.254
DNN_LNA_sinu,0.50,98.5,0.254
DNN_LNA_sinu,0.80,100.0,0.254
DNN_LNA_sinu,1.00,100.0,0.254
