Model,GoalX,GoalY,NumFailures,MeanFailureDist,MinFailureDist,MaxFailureDist
DNN_LNA_closs1,0.5,0.5,99,0.41175608502493966,0.3020676076412201,0.644051730632782
DNN_LNA_mse,0.5,0.5,33,0.372869282057791,0.30021822452545166,0.5081068873405457
DNN_LNA_on_wheel1,0.5,0.5,18,0.3509019464254379,0.30173248052597046,0.4385451078414917
DNN_LNA_sinu,0.5,0.5,41,0.33879459994595224,0.30065837502479553,0.39228329062461853
DNN_LNA_closs1,1.0,0.0,179,0.6527361193848722,0.3063148558139801,0.985575795173645
DNN_LNA_closs2,1.0,0.0,4,0.3307271674275398,0.3157538175582886,0.3567139804363251
DNN_LNA_mse,1.0,0.0,47,0.41797079558068134,0.3022420108318329,0.6007636785507202
DNN_LNA_on_wheel1,1.0,0.0,24,0.3521854740877946,0.3003557622432709,0.42630937695503235
DNN_LNA_sinu,1.0,0.0,71,0.3906142988675077,0.3008214235305786,0.5415219664573669
DNN_LNA_closs1,1.5,-0.5,170,0.5999603306545931,0.3011300563812256,0.9605355858802795
DNN_LNA_mse,1.5,-0.5,72,0.4426637300186687,0.30011245608329773,0.7086073160171509
DNN_LNA_on_wheel1,1.5,-0.5,14,0.3662759086915425,0.3097991347312927,0.4662916362285614
DNN_LNA_sinu,1.5,-0.5,73,0.39772538779533073,0.30189016461372375,0.590770959854126
